genus,size_category,feeding_habit,vertical_position,depth_distribution
Phoebastria,tiny,aves_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic
Pinguinus,tiny,aves_actinopterygii,pelagic,neritic
Procellaria,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
Pterodroma,tiny,aves_macroinvertebrates_cephalopoda,pelagic,neritic
Pterodromoides,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
Puffinus,tiny,aves_actinopterygii,pelagic,neritic
Somateria,tiny,aves_macroinvertebrates,benthic,neritic
Stercorarius,tiny,aves_actinopterygii_aves,pelagic,neritic
Sula,tiny,aves_cephalopoda_actinopterygii,pelagic,neritic
Thalasseus,tiny,aves_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic
Uria,tiny,aves_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic
Aetobatus,small,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic
Aetomylaeus,small,chondrichthyes_macroinvertebrates,benthopelagic,neritic
Alopias superciliosus,medium,chondrichthyes_cephalopoda_actinopterygii,pelagic,neritic_twilight
Alopias vulpinus,large,chondrichthyes_cephalopoda_actinopterygii,pelagic,neritic_twilight
Anoxypristis,medium,chondrichthyes_cephalopoda_actinopterygii,benthopelagic,neritic
Araloselachus, NA,NA,NA,NA
Carcharhinus1,small,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_chondrichthyes,benthopelagic,neritic
Carcharhinus2,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_chondrichthyes,benthopelagic,neritic
Carcharias,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_chondrichthyes,benthopelagic,neritic
Carcharodon,large,chondrichthyes_cephalopoda_actinopterygii_reptilia_aves_chondrichthyes_mammalia,pelagic,neritic_twilight
Chaenogaleus,tiny,NA,NA,NA
Cosmopolitodus,large,chondrichthyes_actinopterygii_mammalia,pelagic,neritic_twilight
Dasyatis,small,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Deania,small,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight_midnight
